Sentense,Class
The customer receives feedback from the assessor or approver,1
The process of Vacations Request starts when any employee of the organization submits a vacation request,1
Once the requirement is registered the request is received by the immediate supervisor of the employee requesting the vacation,1
The supervisor must approve or reject the request,1
If the request is rejected the application is returned to the applicant/employee who can review the rejection reasons,1
If the request is approved a notification is generated to the Human Resources Representative who must complete the respective management procedures,1
The process of an Office Supply Request starts when any employee of the organization submits an office supply request,1
Once the requirement is registered the request is received by the immediate supervisor of the employee requesting the office supplies,1
The supervisor must approve or ask for a change or reject the request,1
If the request is rejected the process will end,1
If the request is asked to make a change then it is returned to the petitioner/employee who can review the comments for the change request,1
If the request is approved it will go to the purchase department that will be in charge of making quotations (using a subprocess) and select a vendor,1
If the vendor is not valid in the system the purchase department will have to choose a different vendor,1
After a vendor is selected and confirmed the system will generate and send a purchase order and wait for the product to be delivered and the invoice received,1
In any case the system will send a notification to let the user know what the result was,1
In any of the cases approval rejection or change required the system will send the user a notification,1
If an insurant could be possibly subrogated against I get information about that,1
I check that case and if the possibility is really there I send a request for payment to the insurant and make me a reminder,1
If recourse is not possible I close the case,1
When we receive the money I make a booking and close the case,1
If the insurant disagrees with the recourse I’ll have to check the reasoning of that,1
If he is right I simply close the case,1
If he is wrong I forward the case to a collection agency,1
If the deadline for disagreement is reached and we haven’t received any money I forward the case to the collection agency as well,1
A guest enters the restaurant when feeling hungry,1
He chooses a dish from the changing meal range and waits until it is his turn,1
Following this he places his order with the employee,1
The employee enters the order into the POS system and collects the money from the guest,1
After the payment the employee sets up a buzzer and passes it on to the guest with the following information When the buzzer rings your dinner is ready,1
Afterwards the employee informs the chef of the new meal order,1
The chef prepares the meal and places it in the service hatch,1
He then informs the employee that he has placed the finished meal in the service hatch,1
As soon as the employee is aware that the meal is ready he sets off the guest’s buzzer,1
This is how the guest finds out that his meal is ready for collection,1
He can pick up his meal and eat it,1
As soon as the guest appears at the service hatch the employee hands over his meal,1
Should a guest not react to the buzzer the employee calls for him after 5 minutes if necessary several times in a row,1
Whenever a company makes the decision to go public its first task is to select the underwriters,1
Thus in addition to handling the sale of a company’s issue the underwriters in effect give their seal of approval to it,1
They prepare a registration statement for the approval of the Securities and Exchange Commission (SEC),1
In addition to registering the issue with the SEC they need to check that the issue complies with the so-called blue-sky laws of each state that regulate sales of securities within the state,1
While the registration statement is awaiting approval underwriters begin to firm up the issue price,1
They arrange a road show to talk to potential investors,1
Immediately after they receive clearance from the SEC underwriters fix the issue price,1
After that they enter into a firm commitment to buy the stock and then offer it to the public when they haven’t still found any reason not to do it,1
First of all the customer must decide whether he wants an individual or family membership,1
If he wants an individual membership he must prepare his personal information,1
If he wants a family membership instead he should prepare the information for its spouse and spawn as well,1
The customer must then give this information to the ZooClub department,1
The ZooClub department introduces the visitors personal data into the system and takes the payment request to the Billing department,1
The ZooClub department also forwards the visitors information to the marketing department,1
The billing department sends the payment request to the bank,1
The bank processes the payment information and if everything is correct charges the payment into users account,1
Once the payment is confirmed the ZooClub department can print the card and deliver it to the visitor,1
In the meantime the Marketing department makes a request to mail the Zoo Clubs magazine to the visitors home,1
Once the visitor receives the card he can go home,1
The process starts when a client cannot find a product at a local shop of HomeDeco,1
Client requests to a clerk if the product is available at the local warehouse,1
The clerk checks the availability of the product with the ERP system of HomeDeco,1
If the product is available at the local warehouse the clerk makes a request to a warehouse manager to deliver the product to client at clerk’s desk directly,1
If the product is not available the clerk asks client if he would like to order that product or not,1
The product is normally delivered within 5 days at the local shop,1
If client refuses the request the process ends,1
Otherwise the clerk makes an order for him,1
When the clerk finishes the order he prints the order and invoice for client so that he can use for picking up the product when it is delivered and paying at checkout respectively,1
If the payment is not received within two days the order is cancelled and a notification message is sent to client,1
When the payment is received the order is sent to the central warehouse and a message is sent to inform client that the product will be delivered within 5 days,1
When the product is delivered at the local shop an sms is sent to inform client the availability of the product at the local shop and he can pick up the product at any time and the process is terminated,1
If the product is not delivered within 5 days a notification is sent to client by asking him if he either maintains or cancels the order,1
If client wishes to cancel the order HomeDeco reimburses client directly to his bank account and the process ends,1
Otherwise a coupon of 20% of reduction for next purchase is offered to client and it is sent by email,1
If the product is not delivered within 10 days the order is definitely cancelled HomeDeco reimburses directly to client’s bank account and notifies client about the cancelation,1
The process starts when a Travel Agency received a flight reservation request from a client by email or phone,1
Travel Agency searches and evaluates flights based on client’s travel preferences (travel dates airport),1
Then Travel Agency sends the most interesting flights to client (including itinerary price) and waits for the answer,1
After 24 hours if the answer is not received a reminder is sent and client has another 24 hours to answer,1
If no answer is received the request is cancelled and Travel Agency notifies client,1
Client rejects all the proposed flights or accepts one of the proposed flights or changes travel preferences,1
For the latter the process restarts it is considered as a new request,1
In case of a flight is chosen Travel Agency requests client’s personal information such as first name last name date of birth number of passport ,1
so that Travel Agency can make a booking with airline company and it is valid for 7 days,1
If there is no answer from client regarding the personal information within 48 hours the request is cancelled and Travel Agency notifies client,1
After the booking is done Travel Agency sends flight information and a link to proceed the payment online to client,1
One day before the expiration date Travel Agency sends a reminder to client if payment is not received,1
When the payment is received Travail Agency completes the booking with airline company and notifies client by sending an e-Ticket,1
If no payment is received within 7 days the booking is cancelled with notification to client,1
A small company manufactures customized bicycles,0
The examination process can be summarised as follows,0
Beyond information about the patient the request form includes details about the examination requested and refers to a suitable lab,0
The Evanstonian is an upscale independent hotel,0
Eighty percent of room-service orders include wine or some other alcoholic beverage (i.e. puts a tablecloth on the cart and gathers silverware),0
The waiter may wait to do the billing if he has another order to prepare or deliver,0
The ongoing repair consists of two activities which are executed in an arbitrary order,0
In the context of a claim handling process it is sometimes necessary to send a questionnaire to the claimant to gather additional information,0
Underwriters act as financial midwives to a new issue,0
Usually they play a triple role First they provide the company with procedural and financial advice then they buy the issue and finally they resell it to the public,0
Established underwriters are careful of their reputation and will not handle a new issue unless they believe the facts have been presented fairly,0
When a visitor wants to become a member of Barcelonas ZooClub the following steps must be taken,0
Such as e-mail address and desired password personal details such as name and date of birth as well as his telephone number and address,0
The invoices can be sorted in two ways by amount and by vendor,0
This process describes how purchases work at the ACME Inc company,0
The final step in the process is the approval of this order which is granted by another role called approver,0
The account creation process at this bank proceeds as follows,0
As a basic principle ACME AG receives invoices on paper or fax,0
For instance a sales person on a trip rents a car,0
Since the company has expense rules there are circumstances where the supervisor can accept or reject the report upon first inspection,0
These rules could be automated to reduce the workload on the supervisor - for example to correct errors or better describe an expense including e.g. payment or refund and accounting,0
Unfortunately it is not coupled correctly to our Enterprise Resource Planning system (ERP),0
By the way that is the second step,0
This notice is done by the family doctor of somebody who is in need of mental treatment,0
The registration form as well as the print from the information system are stored in the patient file,0
Each patient will be assigned to a social-medical worker who will act as the first intaker of the patient,0
One of the physicians will act as the second intaker,0
(this process will not be detailed here),0
(i.e. contract commitment data + prioritized actions),0
(based on the received data),0
Three alternative process paths may be taken,0
Customer service is a shared service center between the departments Sales and Distribution,0
The comparison of data is done to prevent individual customer data being stored multiple times,0
This object consists of data elements such as the customer’s name and address and the assigned power gauge (including data such as bank connection information on the selected rate requested date of switch-over),0
I.e. the contract documents are not (or incorrectly) generated (i,0
the customer service (of the “new” supplier) does not have to interact with the old supplier regarding termination),0
(i.e. no supplier concurrence),0
An additional constraint is that the customer can only withdraw from the offered contract within 7 days,0
The confirmation message by the customer is therefore not absolutely necessary (as it will count as accepted after 7 days in any way) but it can speed up the switch process,0
The first step is to determine contact details of potential customers,0
This can be achieved in several ways,0
It is given either by a sales representative or by a pre-sales employee in case of a more technical presentation,0
To make an order a client must exist in the ERP system of HomeDeco,0
In addition HomeDeco allows payment online also,0
(travel dates airport …),0
(including itinerary price …),0
Client can provide three possible responses,0
