Sentences (N-1 | N | N+1);Class
Based on the tracked errors, all necessary corrective actions are undertaken by Resource Provisioning. Then a trouble-shooting report is created. This report is sent out to Service Management, then the process ends;Relevant
Then a trouble-shooting report is created. This report is sent out to Service Management, then the process ends. The trouble-shooting report is received by Service Management and this information goes then into the creation of the problem resolution report just as described for ii);Relevant
This report is sent out to Service Management, then the process ends. The trouble-shooting report is received by Service Management and this information goes then into the creation of the problem resolution report just as described for ii). Customer Service either receives the actual service performance (if there was no problem) or the problem resolution report;Relevant
The trouble-shooting report is received by Service Management and this information goes then into the creation of the problem resolution report just as described for ii). Customer Service either receives the actual service performance (if there was no problem) or the problem resolution report. Then, two concurrent activities are triggered, i.e. i) a report is created for the customer which details the current service performance and the resolution of the problem, and ii) an SLA violation rebate is reported to Billing & Collections who will adjust the billing;Relevant
Customer Service either receives the actual service performance (if there was no problem) or the problem resolution report. Then, two concurrent activities are triggered, i.e. i) a report is created for the customer which details the current service performance and the resolution of the problem, and ii) an SLA violation rebate is reported to Billing & Collections who will adjust the billing. The report for the customer is sent out to her;Relevant
Then, two concurrent activities are triggered, i.e. i) a report is created for the customer which details the current service performance and the resolution of the problem, and ii) an SLA violation rebate is reported to Billing & Collections who will adjust the billing. The report for the customer is sent out to her. After all three activities are completed the process ends within Customer Service;Relevant
The report for the customer is sent out to her. After all three activities are completed the process ends within Customer Service. After the customer then receives the report about service performance and problem resolution from Customer Service, the process flow at the customer also ends;Relevant
After all three activities are completed the process ends within Customer Service. After the customer then receives the report about service performance and problem resolution from Customer Service, the process flow at the customer also ends. The process is initiated by a switch-over request;Relevant
After the customer then receives the report about service performance and problem resolution from Customer Service, the process flow at the customer also ends. The process is initiated by a switch-over request. In doing so, the customer transmits his data to the customer service department of the company;Relevant
The process is initiated by a switch-over request. In doing so, the customer transmits his data to the customer service department of the company. Customer service is a shared service center between the departments Sales and Distribution;Relevant
In doing so, the customer transmits his data to the customer service department of the company. Customer service is a shared service center between the departments Sales and Distribution. The customer data is received by customer service and based on this data a customer data object is entered into the CRM system;Irrelevant
Customer service is a shared service center between the departments Sales and Distribution. The customer data is received by customer service and based on this data a customer data object is entered into the CRM system. After customer data has been entered it should then be compared with the internal customer data base and checked for completeness and plausibility;Relevant
The customer data is received by customer service and based on this data a customer data object is entered into the CRM system. After customer data has been entered it should then be compared with the internal customer data base and checked for completeness and plausibility. In case of any errors these should be corrected on the basis of a simple error list;Relevant
After customer data has been entered it should then be compared with the internal customer data base and checked for completeness and plausibility. In case of any errors these should be corrected on the basis of a simple error list. The comparison of data is done to prevent individual customer data being stored multiple times;Relevant
In case of any errors these should be corrected on the basis of a simple error list. The comparison of data is done to prevent individual customer data being stored multiple times. In case the customer does not exist in the customer data base, a new customer object is being created which will remain the data object of interest during the rest of the process flow;Irrelevant
The comparison of data is done to prevent individual customer data being stored multiple times. In case the customer does not exist in the customer data base, a new customer object is being created which will remain the data object of interest during the rest of the process flow. This object consists of data elements such as the customer’s name and address and the assigned power gauge (including data such as bank connection, information on the selected rate, requested date of switch-over);Relevant
In case the customer does not exist in the customer data base, a new customer object is being created which will remain the data object of interest during the rest of the process flow. This object consists of data elements such as the customer’s name and address and the assigned power gauge (including data such as bank connection, information on the selected rate, requested date of switch-over). The generated customer object is then used, in combination with other customer data to prepare the contract documents for the power supplier switch (including data such as bank connection, information on the selected rate, requested date of switch-over);Irrelevant
This object consists of data elements such as the customer’s name and address and the assigned power gauge (including data such as bank connection, information on the selected rate, requested date of switch-over). The generated customer object is then used, in combination with other customer data to prepare the contract documents for the power supplier switch (including data such as bank connection, information on the selected rate, requested date of switch-over). In the following an automated check of the contract documents is carried out within the CIS (customer information system) in order to confirm their successful generation;Relevant
The generated customer object is then used, in combination with other customer data to prepare the contract documents for the power supplier switch (including data such as bank connection, information on the selected rate, requested date of switch-over). In the following an automated check of the contract documents is carried out within the CIS (customer information system) in order to confirm their successful generation. In case of a negative response, i.e. the contract documents are not (or incorrectly) generated, the causing issues are being analyzed and resolved;Relevant
In the following an automated check of the contract documents is carried out within the CIS (customer information system) in order to confirm their successful generation. In case of a negative response, i.e. the contract documents are not (or incorrectly) generated, the causing issues are being analyzed and resolved. Subsequently the contract documents are generated once again;Relevant
In case of a negative response, i.e. the contract documents are not (or incorrectly) generated, the causing issues are being analyzed and resolved. Subsequently the contract documents are generated once again. In case of a positive response a confirmation document is sent out to the customer stating that the switch-over to the new supplier can be executed;Relevant
Subsequently the contract documents are generated once again. In case of a positive response a confirmation document is sent out to the customer stating that the switch-over to the new supplier can be executed. A request to the grid operator is automatically sent out by the CIS;Relevant
In case of a positive response a confirmation document is sent out to the customer stating that the switch-over to the new supplier can be executed. A request to the grid operator is automatically sent out by the CIS. It puts the question whether the customer may be supplied by the selected supplier in the future;Relevant
A request to the grid operator is automatically sent out by the CIS. It puts the question whether the customer may be supplied by the selected supplier in the future. The switch-over request is checked by the grid operator for supplier concurrence, and the grid operator transmits a response comment;Relevant
It puts the question whether the customer may be supplied by the selected supplier in the future. The switch-over request is checked by the grid operator for supplier concurrence, and the grid operator transmits a response comment. In the case of supplier concurrence, the grid operator would inform all involved suppliers and demand the resolution of the conflict;Relevant
The switch-over request is checked by the grid operator for supplier concurrence, and the grid operator transmits a response comment. In the case of supplier concurrence, the grid operator would inform all involved suppliers and demand the resolution of the conflict. The grid operator communicates with the old supplier and carries out the termination of the sales agreement between the customer and the old supplier;Relevant
In the case of supplier concurrence, the grid operator would inform all involved suppliers and demand the resolution of the conflict. The grid operator communicates with the old supplier and carries out the termination of the sales agreement between the customer and the old supplier. (i.e. the customer service (of the “new” supplier) does not have to interact with the old supplier regarding termination);Relevant
The grid operator communicates with the old supplier and carries out the termination of the sales agreement between the customer and the old supplier. (i.e. the customer service (of the “new” supplier) does not have to interact with the old supplier regarding termination). If there are not any objections by the grid operator;Irrelevant
(i.e. the customer service (of the “new” supplier) does not have to interact with the old supplier regarding termination). If there are not any objections by the grid operator. (i.e. no supplier concurrence);Relevant
If there are not any objections by the grid operator. (i.e. no supplier concurrence). customer service creates a CIS contract;Irrelevant
(i.e. no supplier concurrence). customer service creates a CIS contract. The customer then has the chance to check the contract details and based on this check may decide to either withdraw from the switch contract or confirm it;Relevant
customer service creates a CIS contract. The customer then has the chance to check the contract details and based on this check may decide to either withdraw from the switch contract or confirm it. Depending on the customer’s acceptance/rejection the process flow at customer service either ends (in case of withdrawal) or continues (in case of a confirmation);Relevant
The customer then has the chance to check the contract details and based on this check may decide to either withdraw from the switch contract or confirm it. Depending on the customer’s acceptance/rejection the process flow at customer service either ends (in case of withdrawal) or continues (in case of a confirmation). An additional constraint is that the customer can only withdraw from the offered contract within 7 days – after the 7th day the contract will be regarded as accepted and the process continues;Relevant
Depending on the customer’s acceptance/rejection the process flow at customer service either ends (in case of withdrawal) or continues (in case of a confirmation). An additional constraint is that the customer can only withdraw from the offered contract within 7 days – after the 7th day the contract will be regarded as accepted and the process continues. The confirmation message by the customer is therefore not absolutely necessary (as it will count as accepted after 7 days in any way) but it can speed up the switch process;Relevant
An additional constraint is that the customer can only withdraw from the offered contract within 7 days – after the 7th day the contract will be regarded as accepted and the process continues. The confirmation message by the customer is therefore not absolutely necessary (as it will count as accepted after 7 days in any way) but it can speed up the switch process. On the switch-date, but no later than 10 days after power supply has begun, the grid operator transmits the power meter data to the customer service and the old supplier via messages containing a services consumption report;Irrelevant
The confirmation message by the customer is therefore not absolutely necessary (as it will count as accepted after 7 days in any way) but it can speed up the switch process. On the switch-date, but no later than 10 days after power supply has begun, the grid operator transmits the power meter data to the customer service and the old supplier via messages containing a services consumption report. At the same time, the grid operator computes the final billing based on the meter data and sends it to the old supplier;Relevant
On the switch-date, but no later than 10 days after power supply has begun, the grid operator transmits the power meter data to the customer service and the old supplier via messages containing a services consumption report. At the same time, the grid operator computes the final billing based on the meter data and sends it to the old supplier. Likewise the old supplier creates and sends the final billing to the customer;Relevant
At the same time, the grid operator computes the final billing based on the meter data and sends it to the old supplier. Likewise the old supplier creates and sends the final billing to the customer. For the customer as well as the grid operator the process ends then;Relevant
Likewise the old supplier creates and sends the final billing to the customer. For the customer as well as the grid operator the process ends then. After receiving the meter data customer service imports the meter data to systems that require the information;Relevant
For the customer as well as the grid operator the process ends then. After receiving the meter data customer service imports the meter data to systems that require the information. The process of “winning” a new customer ends here;Relevant
After receiving the meter data customer service imports the meter data to systems that require the information. The process of “winning” a new customer ends here. The first step is to determine contact details of potential customers;Relevant
The process of “winning” a new customer ends here. The first step is to determine contact details of potential customers. This can be achieved in several ways;Relevant
The first step is to determine contact details of potential customers. This can be achieved in several ways. Sometimes, we buy details for cold calls, sometimes, our marketing staff participates in exhibitions and sometimes, you just happen to know somebody, who is interested in the product;Irrelevant
This can be achieved in several ways. Sometimes, we buy details for cold calls, sometimes, our marketing staff participates in exhibitions and sometimes, you just happen to know somebody, who is interested in the product. Then we start calling the customer;Relevant
Sometimes, we buy details for cold calls, sometimes, our marketing staff participates in exhibitions and sometimes, you just happen to know somebody, who is interested in the product. Then we start calling the customer. That is done by the call center staff;Relevant
Then we start calling the customer. That is done by the call center staff. They are determining the contact person and the budget which would be available for the project;Relevant
That is done by the call center staff. They are determining the contact person and the budget which would be available for the project. Of course, asking the customer whether he is generally interested is also important;Relevant
They are determining the contact person and the budget which would be available for the project. Of course, asking the customer whether he is generally interested is also important. If this is not the case, we leave him alone, except if the potential project budget is huge;Relevant
Of course, asking the customer whether he is generally interested is also important. If this is not the case, we leave him alone, except if the potential project budget is huge. Then the head of development personally tries to acquire the customer;Relevant
If this is not the case, we leave him alone, except if the potential project budget is huge. Then the head of development personally tries to acquire the customer. If the customer is interested in the end, the next step is a detailed online presentation;Relevant
Then the head of development personally tries to acquire the customer. If the customer is interested in the end, the next step is a detailed online presentation. It is given either by a sales representative or by a pre-sales employee in case of a more technical presentation;Relevant
If the customer is interested in the end, the next step is a detailed online presentation. It is given either by a sales representative or by a pre-sales employee in case of a more technical presentation. Afterwards we are waiting for the customer to come back to us;Irrelevant
It is given either by a sales representative or by a pre-sales employee in case of a more technical presentation. Afterwards we are waiting for the customer to come back to us. If we are not contacted within 2 weeks, a sales representative is calling the customer;Relevant
Afterwards we are waiting for the customer to come back to us. If we are not contacted within 2 weeks, a sales representative is calling the customer. The last phase is the creation of a quotation;Relevant
If we are not contacted within 2 weeks, a sales representative is calling the customer. The last phase is the creation of a quotation. The credit company receives the credit information from the customer, If the requested amount is greater than 1M$ an approval must be requested;Relevant
The last phase is the creation of a quotation. The credit company receives the credit information from the customer, If the requested amount is greater than 1M$ an approval must be requested. If the requested amount is lower or equal to 1M$ the company assess the risk of the credit;Relevant
The credit company receives the credit information from the customer, If the requested amount is greater than 1M$ an approval must be requested. If the requested amount is lower or equal to 1M$ the company assess the risk of the credit. After the assessment, if the risk is high, an approval must be requested, but if the risk is low the credit is accepted;Relevant
If the requested amount is lower or equal to 1M$ the company assess the risk of the credit. After the assessment, if the risk is high, an approval must be requested, but if the risk is low the credit is accepted. After the approval request, the credit could be accepted or rejected, in both cases, an email is sent to the customer;Relevant
After the assessment, if the risk is high, an approval must be requested, but if the risk is low the credit is accepted. After the approval request, the credit could be accepted or rejected, in both cases, an email is sent to the customer. The credit company collects the credit information from the customer, If the requested amount is greater than 1M$ an approval must be requested;Relevant
After the approval request, the credit could be accepted or rejected, in both cases, an email is sent to the customer. The credit company collects the credit information from the customer, If the requested amount is greater than 1M$ an approval must be requested. If the requested amount is lower or equal to 1M$ the company assess the risk of the credit;Relevant
The credit company collects the credit information from the customer, If the requested amount is greater than 1M$ an approval must be requested. If the requested amount is lower or equal to 1M$ the company assess the risk of the credit. After the assessment, if the risk is high, an approval must be requested, but if the risk is low the credit is accepted;Relevant
If the requested amount is lower or equal to 1M$ the company assess the risk of the credit. After the assessment, if the risk is high, an approval must be requested, but if the risk is low the credit is accepted. After the approval request, the credit could be accepted or rejected, in both cases, an email is sent to the customer;Relevant
After the assessment, if the risk is high, an approval must be requested, but if the risk is low the credit is accepted. After the approval request, the credit could be accepted or rejected, in both cases, an email is sent to the customer. The credit company collects the credit information from the customer, If the requested amount is lower or equal to 1M$ the company assess the risk of the credit;Relevant
After the approval request, the credit could be accepted or rejected, in both cases, an email is sent to the customer. The credit company collects the credit information from the customer, If the requested amount is lower or equal to 1M$ the company assess the risk of the credit. After the assessment, if the risk is low the credit is accepted;Relevant
The credit company collects the credit information from the customer, If the requested amount is lower or equal to 1M$ the company assess the risk of the credit. After the assessment, if the risk is low the credit is accepted. If the requested amount is greater than 1M$ or the risk of the credit is high, an approval must be requested;Relevant
After the assessment, if the risk is low the credit is accepted. If the requested amount is greater than 1M$ or the risk of the credit is high, an approval must be requested. After the approval request, the credit could be accepted or rejected, in both cases, an email is sent to the customer;Relevant
If the requested amount is greater than 1M$ or the risk of the credit is high, an approval must be requested. After the approval request, the credit could be accepted or rejected, in both cases, an email is sent to the customer. If a not collected bag is identified, CVS must check the number of resolution retries conducted;Relevant
After the approval request, the credit could be accepted or rejected, in both cases, an email is sent to the customer. If a not collected bag is identified, CVS must check the number of resolution retries conducted. If the number of retries is greater than an specified number, the bag must be returned to the production area for disassemble, in all other cases, CVS must try to contact the customer by phone and remind to pick up the bag;Relevant
If a not collected bag is identified, CVS must check the number of resolution retries conducted. If the number of retries is greater than an specified number, the bag must be returned to the production area for disassemble, in all other cases, CVS must try to contact the customer by phone and remind to pick up the bag. If the contact is successful and the customer withdrawn the order, the bag must be returned to the production area for disassemble, but if it is successful and the customer promises to pick up the bag, CVS must increase the retry count on the bag label;Relevant
If the number of retries is greater than an specified number, the bag must be returned to the production area for disassemble, in all other cases, CVS must try to contact the customer by phone and remind to pick up the bag. If the contact is successful and the customer withdrawn the order, the bag must be returned to the production area for disassemble, but if it is successful and the customer promises to pick up the bag, CVS must increase the retry count on the bag label. Also, this number must be increased if the contact is unsuccessful;Relevant
If the contact is successful and the customer withdrawn the order, the bag must be returned to the production area for disassemble, but if it is successful and the customer promises to pick up the bag, CVS must increase the retry count on the bag label. Also, this number must be increased if the contact is unsuccessful. As soon as an employee files an expense report the process is started;Relevant
Also, this number must be increased if the contact is unsuccessful. As soon as an employee files an expense report the process is started. The process starts by reviewing the order;Relevant
As soon as an employee files an expense report the process is started. The process starts by reviewing the order. The staff should check if all the requested items are available;Relevant
The process starts by reviewing the order. The staff should check if all the requested items are available. If something is missing, the staff has to inform customer about a potential delay and order the missing products;Relevant
The staff should check if all the requested items are available. If something is missing, the staff has to inform customer about a potential delay and order the missing products. In the exceptional case of a discontinued item, the customer should be informed about the not longer available items;Relevant
If something is missing, the staff has to inform customer about a potential delay and order the missing products. In the exceptional case of a discontinued item, the customer should be informed about the not longer available items. After waiting an average of x days for the delivery, the staff should check again if all products are on store;Relevant
In the exceptional case of a discontinued item, the customer should be informed about the not longer available items. After waiting an average of x days for the delivery, the staff should check again if all products are on store. If everything is OK, then the staff recollects all products and prepare a package;Relevant
After waiting an average of x days for the delivery, the staff should check again if all products are on store. If everything is OK, then the staff recollects all products and prepare a package. The courier is then informed about the pre-processed package;Relevant
If everything is OK, then the staff recollects all products and prepare a package. The courier is then informed about the pre-processed package. The courier company informs the client about a potential delay until there are enough human resources to process the delivery;Relevant
The courier is then informed about the pre-processed package. The courier company informs the client about a potential delay until there are enough human resources to process the delivery. Then, the package is picked up by the designed driver;Relevant
The courier company informs the client about a potential delay until there are enough human resources to process the delivery. Then, the package is picked up by the designed driver. A centralized service decides the best route to deliver all driver's packages;Relevant
Then, the package is picked up by the designed driver. A centralized service decides the best route to deliver all driver's packages. Once the driver delivers the package, she should update the system so all stakeholders are notified;Relevant
A centralized service decides the best route to deliver all driver's packages. Once the driver delivers the package, she should update the system so all stakeholders are notified. The process starts with an informational meeting among the web design team;Relevant
Once the driver delivers the package, she should update the system so all stakeholders are notified. The process starts with an informational meeting among the web design team. If this meeting is not successful, the process ends here;Relevant
The process starts with an informational meeting among the web design team. If this meeting is not successful, the process ends here. Otherwise, the team starts by creating a storyboard;Relevant
If this meeting is not successful, the process ends here. Otherwise, the team starts by creating a storyboard. After an agreement on the storyboard, part of the team starts working on the design and development of the website;Relevant
Otherwise, the team starts by creating a storyboard. After an agreement on the storyboard, part of the team starts working on the design and development of the website. Simultaneously, the team will start to prepare an initial draft of the content;Relevant
After an agreement on the storyboard, part of the team starts working on the design and development of the website. Simultaneously, the team will start to prepare an initial draft of the content. In case a review of the draft is needed, the marketing team will conduct this, before the web design team creates the final version of the content;Relevant
Simultaneously, the team will start to prepare an initial draft of the content. In case a review of the draft is needed, the marketing team will conduct this, before the web design team creates the final version of the content. When the development and content have been completed, the website will be built and reviewed;Relevant
In case a review of the draft is needed, the marketing team will conduct this, before the web design team creates the final version of the content. When the development and content have been completed, the website will be built and reviewed. If the site is approved, the process is completed, otherwise the team goes back to the building step;Relevant
When the development and content have been completed, the website will be built and reviewed. If the site is approved, the process is completed, otherwise the team goes back to the building step. After management indicates that new clients are needed, the marketing team will perform a market analysis and prepare a portfolio presentation;Relevant
If the site is approved, the process is completed, otherwise the team goes back to the building step. After management indicates that new clients are needed, the marketing team will perform a market analysis and prepare a portfolio presentation. When they have sent out offers to potential clients the marketing team informs management about the responses;Relevant
After management indicates that new clients are needed, the marketing team will perform a market analysis and prepare a portfolio presentation. When they have sent out offers to potential clients the marketing team informs management about the responses. Management then starts negotiations by sending out a detailed offer to the client;Relevant
When they have sent out offers to potential clients the marketing team informs management about the responses. Management then starts negotiations by sending out a detailed offer to the client. If the client accepts the offer, management will prepare a contract that will be signed;Relevant
Management then starts negotiations by sending out a detailed offer to the client. If the client accepts the offer, management will prepare a contract that will be signed. Otherwise, management analyzes the reason why their offer failed in order to improve in the future;Relevant
If the client accepts the offer, management will prepare a contract that will be signed. Otherwise, management analyzes the reason why their offer failed in order to improve in the future. An order to cash process starts when a customer order is received;Relevant
Otherwise, management analyzes the reason why their offer failed in order to improve in the future. An order to cash process starts when a customer order is received. After the order has been processed, it is send to the warehouse;Relevant
An order to cash process starts when a customer order is received. After the order has been processed, it is send to the warehouse. The warehouse employees determine the parts required to produce the requested items;Relevant
After the order has been processed, it is send to the warehouse. The warehouse employees determine the parts required to produce the requested items. If any parts are not available in the warehouse, these are ordered;Relevant
The warehouse employees determine the parts required to produce the requested items. If any parts are not available in the warehouse, these are ordered. Once all necessary parts are available, production will start;Relevant
If any parts are not available in the warehouse, these are ordered. Once all necessary parts are available, production will start. After production, quality checks will be performed;Relevant
Once all necessary parts are available, production will start. After production, quality checks will be performed. If the production process has finished, products will be packaged and labeled, before returning to the warehouse;Relevant
After production, quality checks will be performed. If the production process has finished, products will be packaged and labeled, before returning to the warehouse. Finally, sales will be informed about the completed production and the product can be sold to the customer;Relevant
If the production process has finished, products will be packaged and labeled, before returning to the warehouse. Finally, sales will be informed about the completed production and the product can be sold to the customer. A client who wants to create a Paypal account first needs to determine the desired account type;Relevant
Finally, sales will be informed about the completed production and the product can be sold to the customer. A client who wants to create a Paypal account first needs to determine the desired account type. He should either select a personal account or a premium account;Relevant
A client who wants to create a Paypal account first needs to determine the desired account type. He should either select a personal account or a premium account. Afterwards, the client should enter login details;Relevant
He should either select a personal account or a premium account. Afterwards, the client should enter login details. such as e-mail address and desired password, personal details, such as name and date of birth, as well as his telephone number and address;Relevant
Afterwards, the client should enter login details. such as e-mail address and desired password, personal details, such as name and date of birth, as well as his telephone number and address. Finally, the client needs to declare if he has been affiliated with any politically exposed person;Irrelevant
such as e-mail address and desired password, personal details, such as name and date of birth, as well as his telephone number and address. Finally, the client needs to declare if he has been affiliated with any politically exposed person. When the client clicks the create account button, the details will be sent to the Paypal system;Relevant
Finally, the client needs to declare if he has been affiliated with any politically exposed person. When the client clicks the create account button, the details will be sent to the Paypal system. When a request is received, the system will validate the input fields;Relevant
When the client clicks the create account button, the details will be sent to the Paypal system. When a request is received, the system will validate the input fields. If there are any invalid fields, the client will be notified and needs to correct them;Relevant
When a request is received, the system will validate the input fields. If there are any invalid fields, the client will be notified and needs to correct them. Otherwise a welcome email will be generated and sent to indicate that an account has been created;Relevant
If there are any invalid fields, the client will be notified and needs to correct them. Otherwise a welcome email will be generated and sent to indicate that an account has been created. The process starts when the IS is notified about a data validation error;Relevant
Otherwise a welcome email will be generated and sent to indicate that an account has been created. The process starts when the IS is notified about a data validation error. The drop-off tech checks for typos;Relevant
The process starts when the IS is notified about a data validation error. The drop-off tech checks for typos. If this is not the case, the technician checks if the customer can correct the mistake;Relevant
The drop-off tech checks for typos. If this is not the case, the technician checks if the customer can correct the mistake. Otherwise, public sources are scoured for solutions;Relevant
If this is not the case, the technician checks if the customer can correct the mistake. Otherwise, public sources are scoured for solutions. As soon as any check was passed, the issue is considered resolved;Relevant
Otherwise, public sources are scoured for solutions. As soon as any check was passed, the issue is considered resolved. Once the Mail Centre office of SSP receives an invoice from the client, it categorizes the invoice by staff member;Relevant
As soon as any check was passed, the issue is considered resolved. Once the Mail Centre office of SSP receives an invoice from the client, it categorizes the invoice by staff member. Then, the invoice is forwarded to the Administration Department, this Department processes the Invoice (a complex process) and then puts all the invoices into a collection box;Relevant
Once the Mail Centre office of SSP receives an invoice from the client, it categorizes the invoice by staff member. Then, the invoice is forwarded to the Administration Department, this Department processes the Invoice (a complex process) and then puts all the invoices into a collection box. At 10 am every workday, the Data Entry office takes the invoices and enters all data in the SAP system, another complex process;Relevant
Then, the invoice is forwarded to the Administration Department, this Department processes the Invoice (a complex process) and then puts all the invoices into a collection box. At 10 am every workday, the Data Entry office takes the invoices and enters all data in the SAP system, another complex process. Every hour the Mail Centre office reviews the system and forwards all new invoices for validation, the Validation office executes the big process of validating invoices;Relevant
At 10 am every workday, the Data Entry office takes the invoices and enters all data in the SAP system, another complex process. Every hour the Mail Centre office reviews the system and forwards all new invoices for validation, the Validation office executes the big process of validating invoices. At the beginning of every week, the Payment office executes the payment of every validate invoice, this is another big process;Relevant
Every hour the Mail Centre office reviews the system and forwards all new invoices for validation, the Validation office executes the big process of validating invoices. At the beginning of every week, the Payment office executes the payment of every validate invoice, this is another big process. After the payment, all invoices are archived by the Registry office;Relevant
At the beginning of every week, the Payment office executes the payment of every validate invoice, this is another big process. After the payment, all invoices are archived by the Registry office. The process starts when the SO: Angebot/Auftrag receives a subsidiary order;Relevant
After the payment, all invoices are archived by the Registry office. The process starts when the SO: Angebot/Auftrag receives a subsidiary order. The SO: Angebot/Auftrag prepares goods for shipment and then ships the goods, concurrently with preparing the goods and shipping them, the SO: Angebot/Auftrag prepares invoicing;Relevant
The process starts when the SO: Angebot/Auftrag receives a subsidiary order. The SO: Angebot/Auftrag prepares goods for shipment and then ships the goods, concurrently with preparing the goods and shipping them, the SO: Angebot/Auftrag prepares invoicing. In case the customer is subsidiary and the subsidiary relationship is not yet modeled, SO: Address- management adds parent company as invoicing address, then the SO: Angebot/Auftrag create the invoice;Relevant
The SO: Angebot/Auftrag prepares goods for shipment and then ships the goods, concurrently with preparing the goods and shipping them, the SO: Angebot/Auftrag prepares invoicing. In case the customer is subsidiary and the subsidiary relationship is not yet modeled, SO: Address- management adds parent company as invoicing address, then the SO: Angebot/Auftrag create the invoice. Otherwise if the customer is independent or the subsidiary relationship is already modeled in ERP, the SO: Angebot/Auftrag directly creates the invoice;Relevant
In case the customer is subsidiary and the subsidiary relationship is not yet modeled, SO: Address- management adds parent company as invoicing address, then the SO: Angebot/Auftrag create the invoice. Otherwise if the customer is independent or the subsidiary relationship is already modeled in ERP, the SO: Angebot/Auftrag directly creates the invoice. Finally, the SO: Angebot/Auftrag sends the invoice;Relevant
Otherwise if the customer is independent or the subsidiary relationship is already modeled in ERP, the SO: Angebot/Auftrag directly creates the invoice. Finally, the SO: Angebot/Auftrag sends the invoice. In a certain company an Invoice process is started;Relevant
Finally, the SO: Angebot/Auftrag sends the invoice. In a certain company an Invoice process is started. First the Vendor is tried to be located into the SAP system of the company;Relevant
In a certain company an Invoice process is started. First the Vendor is tried to be located into the SAP system of the company. If it is not possible to find it a sub-process to record this new Vendor is started;Relevant
First the Vendor is tried to be located into the SAP system of the company. If it is not possible to find it a sub-process to record this new Vendor is started. The request for this new Vendor Record starts with the filling of the new Vendor Master Record form;Relevant
If it is not possible to find it a sub-process to record this new Vendor is started. The request for this new Vendor Record starts with the filling of the new Vendor Master Record form. After this, the request is attached to the invoice and then putted in an internal outbox for new vendors;Relevant
The request for this new Vendor Record starts with the filling of the new Vendor Master Record form. After this, the request is attached to the invoice and then putted in an internal outbox for new vendors. Before the request is finished it is classified in urgent and non-urgent invoices;Relevant
After this, the request is attached to the invoice and then putted in an internal outbox for new vendors. Before the request is finished it is classified in urgent and non-urgent invoices. Whenever the Invoice is urgent this Request has a maximum 24 hr window to be finished, while if it is non-urgent it has a 1-5 working days time to be done;Relevant
Before the request is finished it is classified in urgent and non-urgent invoices. Whenever the Invoice is urgent this Request has a maximum 24 hr window to be finished, while if it is non-urgent it has a 1-5 working days time to be done. If the Vendor is already in the system or the request for new Vendor Record has finished, its SAP number is then added to the invoice and the process continues;Relevant
Whenever the Invoice is urgent this Request has a maximum 24 hr window to be finished, while if it is non-urgent it has a 1-5 working days time to be done. If the Vendor is already in the system or the request for new Vendor Record has finished, its SAP number is then added to the invoice and the process continues. The invoices can be sorted in two ways: by amount and by vendor;Relevant
If the Vendor is already in the system or the request for new Vendor Record has finished, its SAP number is then added to the invoice and the process continues. The invoices can be sorted in two ways: by amount and by vendor. The invoices are then entered in the SAP system and the process is finished;Irrelevant
The invoices can be sorted in two ways: by amount and by vendor. The invoices are then entered in the SAP system and the process is finished. The process starts when the admin office in SSP receives the invoice, the admin office then sorts the invoice per client, sorts the invoice per vendor, attaches invoice entry form to invoice, enters required info on the invoice entry form, and checks the completeness of the invoice after the client has completed the invoice;Relevant
The invoices are then entered in the SAP system and the process is finished. The process starts when the admin office in SSP receives the invoice, the admin office then sorts the invoice per client, sorts the invoice per vendor, attaches invoice entry form to invoice, enters required info on the invoice entry form, and checks the completeness of the invoice after the client has completed the invoice. If the invoice is not completed a message is sent and the process finishes;Relevant
The process starts when the admin office in SSP receives the invoice, the admin office then sorts the invoice per client, sorts the invoice per vendor, attaches invoice entry form to invoice, enters required info on the invoice entry form, and checks the completeness of the invoice after the client has completed the invoice. If the invoice is not completed a message is sent and the process finishes. Otherwise, if the invoice is complete, the admin office enters the info for the SLA and checks the priority;Relevant
If the invoice is not completed a message is sent and the process finishes. Otherwise, if the invoice is complete, the admin office enters the info for the SLA and checks the priority. If the invoice has high priority, the admin office applies the red stamp on entry invoice;Relevant
Otherwise, if the invoice is complete, the admin office enters the info for the SLA and checks the priority. If the invoice has high priority, the admin office applies the red stamp on entry invoice. Afterwards, the admin office checks the invoice compliance;Relevant
If the invoice has high priority, the admin office applies the red stamp on entry invoice. Afterwards, the admin office checks the invoice compliance. If the invoice is complete the admin office allocates invoice to DEO;Relevant
Afterwards, the admin office checks the invoice compliance. If the invoice is complete the admin office allocates invoice to DEO. Otherwise, if the invoice is not complete, the admin office can either send it to experience staff who should process the non-compliance invoice, call the client and request for information, or send a postal mail requesting the information complete, in this case a reminder is sent to the client after 10 hours;Relevant
If the invoice is complete the admin office allocates invoice to DEO. Otherwise, if the invoice is not complete, the admin office can either send it to experience staff who should process the non-compliance invoice, call the client and request for information, or send a postal mail requesting the information complete, in this case a reminder is sent to the client after 10 hours. Finally, when the missing information are obtained the admin office can allocate invoice to DEO;Relevant
